sX eX - sY eY : mi
208 218 - 215 225 : 0.565332
236 246 - 201 211 : 0.573304
288 302 - 324 338 : 0.559658
422 431 - 375 384 : 0.517302
491 499 - 490 498 : 0.577910
551 560 - 528 537 : 0.512183
600 609 - 627 636 : 0.553968
683 696 - 704 717 : 0.526835
714 724 - 754 764 : 0.565332
888 900 - 864 876 : 0.509127
912 922 - 951 961 : 0.512698
1047 1058 - 1062 1073 : 0.533667
1108 1117 - 1112 1121 : 0.500635
1134 1142 - 1121 1129 : 0.503836
1302 1309 - 1320 1327 : 0.599107
1325 1333 - 1329 1337 : 0.553042
1383 1391 - 1362 1370 : 0.556746
1437 1446 - 1439 1448 : 0.517302
1487 1494 - 1503 1510 : 0.578274
1552 1560 - 1520 1528 : 0.556746
1623 1632 - 1620 1629 : 0.578968
1636 1646 - 1593 1603 : 0.506241
1679 1687 - 1646 1654 : 0.503836
1775 1784 - 1755 1764 : 0.503016
1781 1789 - 1773 1781 : 0.577910
1813 1821 - 1826 1834 : 0.550132
1822 1833 - 1811 1822 : 0.542033
1838 1847 - 1881 1890 : 0.527302
1925 1934 - 1904 1913 : 0.547302
2014 2024 - 2009 2019 : 0.572799
2033 2041 - 2068 2076 : 0.612302
2086 2094 - 2059 2067 : 0.577910
2165 2177 - 2189 2201 : 0.531416
2261 2276 - 2235 2250 : 0.544814
2321 2332 - 2354 2365 : 0.553211
2415 2425 - 2423 2433 : 0.506782
2489 2498 - 2444 2453 : 0.553016
2514 2522 - 2551 2559 : 0.577910
2632 2645 - 2622 2635 : 0.590848
2636 2646 - 2626 2636 : 0.574423
3054 3064 - 3029 3039 : 0.520274
3126 3139 - 3129 3142 : 0.525568
3380 3390 - 3373 3383 : 0.535029
3491 3501 - 3539 3549 : 0.512302
3554 3563 - 3512 3521 : 0.590516
3613 3622 - 3595 3604 : 0.569683
3687 3695 - 3656 3664 : 0.593783
3744 3751 - 3791 3798 : 0.547024
3822 3838 - 3811 3827 : 0.576315
3841 3850 - 3865 3874 : 0.517302
3989 4000 - 3984 3995 : 0.541074
4031 4040 - 4025 4034 : 0.595635
4053 4066 - 4097 4110 : 0.617830
4110 4119 - 4135 4144 : 0.600635
4250 4257 - 4245 4252 : 0.557440
4315 4325 - 4351 4361 : 0.524423
4340 4352 - 4370 4382 : 0.527570
4368 4377 - 4397 4406 : 0.507183
4464 4475 - 4513 4524 : 0.575797
4514 4522 - 4465 4473 : 0.540873
4710 4720 - 4694 4704 : 0.520274
4817 4827 - 4837 4847 : 0.565729
4901 4912 - 4863 4874 : 0.553211
5023 5036 - 5016 5029 : 0.504964
5226 5235 - 5184 5193 : 0.528968
5296 5305 - 5282 5291 : 0.662302
5352 5361 - 5393 5402 : 0.745635
5388 5395 - 5354 5361 : 0.515774
5448 5457 - 5476 5485 : 0.528016
5477 5490 - 5496 5509 : 0.577753
5578 5586 - 5614 5622 : 0.525265
5610 5621 - 5571 5582 : 0.503938
5628 5638 - 5635 5645 : 0.521068
5730 5738 - 5716 5724 : 0.540873
5867 5877 - 5864 5874 : 0.595635
6051 6060 - 6039 6048 : 0.520516
6062 6071 - 6049 6058 : 0.550635
6095 6107 - 6091 6103 : 0.531416
6169 6177 - 6190 6198 : 0.510450
6228 6236 - 6247 6255 : 0.588228
6258 6267 - 6228 6237 : 0.553016
6262 6270 - 6276 6284 : 0.540873
6304 6312 - 6311 6319 : 0.540873
6304 6313 - 6260 6269 : 0.519683
6468 6481 - 6471 6484 : 0.513779
6564 6572 - 6541 6549 : 0.519709
6596 6606 - 6555 6565 : 0.507035
6624 6637 - 6667 6680 : 0.500514
6772 6781 - 6782 6791 : 0.628968
6861 6873 - 6827 6839 : 0.513284
6906 6914 - 6873 6881 : 0.662302
6940 6949 - 6937 6946 : 0.505635
6962 6972 - 6985 6995 : 0.512698
6983 6995 - 7027 7039 : 0.535262
7019 7030 - 7063 7074 : 0.582741
7151 7164 - 7142 7155 : 0.509045
7202 7213 - 7218 7229 : 0.528211
7233 7241 - 7243 7251 : 0.577910
7300 7310 - 7330 7340 : 0.565729
7351 7358 - 7310 7317 : 0.522024
7365 7375 - 7368 7378 : 0.575830
7427 7435 - 7451 7459 : 0.577910
7496 7508 - 7487 7499 : 0.527570
7568 7576 - 7561 7569 : 0.577910
7603 7611 - 7602 7610 : 0.556746
7813 7820 - 7792 7799 : 0.505357
7826 7834 - 7814 7822 : 0.540873
7889 7897 - 7842 7850 : 0.593783
7917 7925 - 7888 7896 : 0.510450
7991 8000 - 7980 7989 : 0.513016
8102 8116 - 8056 8070 : 0.569785
8120 8130 - 8118 8128 : 0.574423
8362 8371 - 8403 8412 : 0.517302
8391 8400 - 8389 8398 : 0.542302
8513 8520 - 8519 8526 : 0.522024
8571 8581 - 8581 8591 : 0.545527
8590 8602 - 8559 8571 : 0.519877
8628 8635 - 8604 8611 : 0.557440
8971 8981 - 8978 8988 : 0.565332
8999 9009 - 8964 8974 : 0.573304
9051 9065 - 9087 9101 : 0.559658
9185 9194 - 9138 9147 : 0.517302
9254 9262 - 9253 9261 : 0.577910
9314 9323 - 9291 9300 : 0.512183
9363 9372 - 9390 9399 : 0.553968
9446 9459 - 9467 9480 : 0.526835
9477 9487 - 9517 9527 : 0.565332
9616 9624 - 9634 9642 : 0.556746
9651 9663 - 9627 9639 : 0.509127
9675 9685 - 9714 9724 : 0.512698
9678 9687 - 9676 9685 : 0.552063
9810 9821 - 9825 9836 : 0.533667
9871 9880 - 9875 9884 : 0.500635
9897 9905 - 9884 9892 : 0.503836
